,Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MWh,Wtd Avg Price $/MWh,Change,Daily Volume MWh,Number of Trades,Number of Companies,date_x,DNI,Temperature,DHI,Pressure,Relative Humidity,Wind Speed,date_y,Date_x,Date_y,Open,High,Low,Close,Adj Close,Volume
20,PJM West,2001-01-31,2001-02-01,2001-02-01,36.5,34.75,35.75,2.020000000000003,12800,16,8,2001-01-31,32324.18527430221,945.711742059673,14444.778633301255,326529.2348411935,29586.47801251204,990.557170356112,2001-01-31,2001-01-31,2001-01-31,1373.72998,1383.369995,1364.660034,1366.01001,1366.01001,1295300000.0
21,PJM West,2001-02-01,2001-02-02,2001-02-02,40.25,39.25,39.96,4.210000000000001,9600,12,7,2001-02-01,46883.36236766121,250.26082771896043,16606.887391722812,330515.5822906642,27570.0114533205,753.1611164581328,2001-02-01,2001-02-01,2001-02-01,1366.01001,1373.5,1359.339966,1373.469971,1373.469971,1118800000.0
22,PJM West,2001-02-02,2001-02-05,2001-02-05,43.5,42.5,43.04,3.0799999999999983,13600,12,8,2001-02-02,43693.645813282,-575.0615976900868,16059.519730510105,330242.6082771894,25049.330322425405,878.8559672762274,2001-02-02,2001-02-02,2001-02-02,1373.469971,1376.380005,1348.719971,1349.469971,1349.469971,1048400000.0
23,PJM West,2001-02-05,2001-02-06,2001-02-06,37.75,36.5,36.94,-6.100000000000001,7200,9,8,2001-02-05,11664.0885466795,215.67709335899892,14251.444658325312,328689.0471607315,30607.85370067372,1035.1284408084698,2001-02-05,2001-02-05,2001-02-05,1349.469971,1354.560059,1344.47998,1354.310059,1354.310059,1013000000.0
24,PJM West,2001-02-06,2001-02-07,2001-02-07,34.75,33.5,33.89,-3.049999999999997,7200,9,8,2001-02-06,51741.86092396534,406.30606352261793,14896.951395572665,329436.93455245445,28919.37157362848,908.7922040423485,2001-02-06,2001-02-06,2001-02-06,1354.310059,1363.550049,1350.040039,1352.26001,1352.26001,1059600000.0
25,PJM West,2001-02-07,2001-02-08,2001-02-08,32.5,32.0,32.32,-1.5700000000000003,5600,7,8,2001-02-07,73782.34263715112,530.9518768046197,14008.735803657364,332298.0461982676,27667.867160731475,698.1108277189604,2001-02-07,2001-02-07,2001-02-07,1352.26001,1352.26001,1334.26001,1340.890015,1340.890015,1158300000.0
26,PJM West,2001-02-08,2001-02-09,2001-02-09,31.75,29.25,29.46,-2.8599999999999994,20000,6,7,2001-02-08,35454.8614051973,1194.1183830606356,18254.912415784405,332645.4138594801,29596.955750721867,691.506592877767,2001-02-08,2001-02-08,2001-02-08,1341.099976,1350.319946,1332.420044,1332.530029,1332.530029,1107200000.0
27,PJM West,2001-02-09,2001-02-12,2001-02-12,40.0,36.0,37.54,8.079999999999998,4800,6,5,2001-02-09,25622.712223291626,1986.0168431183833,18834.31761308951,329300.0384985562,31222.916958614063,1341.7005774783445,2001-02-09,2001-02-09,2001-02-09,1332.530029,1332.530029,1309.97998,1314.76001,1314.76001,1075500000.0
28,PJM West,2001-02-12,2001-02-13,2001-02-13,36.25,35.5,35.75,-1.7899999999999991,6400,8,7,2001-02-12,69490.85996150144,-387.65688161693936,13508.096727622715,334600.65447545674,25206.787925890276,658.398315688162,2001-02-12,2001-02-12,2001-02-12,1314.76001,1330.959961,1313.640015,1330.310059,1330.310059,1039100000.0
29,PJM West,2001-02-13,2001-02-14,2001-02-14,31.5,30.0,30.83,-4.920000000000002,4800,6,6,2001-02-13,53080.09624639075,910.6920115495668,16965.99663137632,332876.38113570726,29886.563460057754,421.644562078922,2001-02-13,2001-02-13,2001-02-13,1330.310059,1336.619995,1317.51001,1318.800049,1318.800049,1075200000.0
30,PJM West,2001-02-14,2001-02-15,2001-02-15,29.25,28.0,28.83,-2.0,4800,6,7,2001-02-14,2132.81135707411,1399.8445620789219,17398.629451395565,329861.7613089509,31957.87630895092,757.7820019249278,2001-02-14,2001-02-14,2001-02-14,1318.800049,1320.72998,1304.719971,1315.920044,1315.920044,1150300000.0
31,PJM West,2001-02-15,2001-02-16,2001-02-16,29.0,28.75,28.83,0.0,9600,11,9,2001-02-15,6378.410972088547,1349.8185755534164,18833.77718960539,329312.90182868164,29113.12899422521,615.2141482194421,2001-02-15,2001-02-15,2001-02-15,1315.920044,1331.290039,1315.920044,1326.609985,1326.609985,1153700000.0
32,PJM West,2001-02-16,2001-02-19,2001-02-19,37.5,36.0,36.75,7.920000000000002,13600,17,7,2001-02-16,6687.794032723772,955.0129932627523,15126.972088546681,329800.7892204045,29797.012824831567,777.4210298363813,2001-02-16,2001-02-16,2001-02-16,1326.609985,1326.609985,1293.180054,1301.530029,1301.530029,1257200000.0
33,PJM West,2001-02-19,2001-02-20,2001-02-20,37.0,36.25,36.62,-0.13000000000000256,1600,2,3,2001-02-19,75698.73820981712,102.56448508180935,16111.54331087584,332104.1289701639,24953.96958614051,1113.0782964388836,2001-02-19,2001-02-19,,,,,,,
34,PJM West,2001-02-20,2001-02-21,2001-02-21,38.8,38.5,38.62,2.0,16800,21,8,2001-02-20,54652.25024061596,1262.480750721847,18133.009143407126,331358.9124157846,28292.625052935524,935.6826275264679,2001-02-20,2001-02-20,2001-02-20,1301.530029,1307.160034,1278.439941,1278.939941,1278.939941,1112200000.0
35,PJM West,2001-02-21,2001-02-22,2001-02-22,46.0,44.0,44.85,6.230000000000004,19200,24,10,2001-02-21,89837.53657362849,18.44513955726641,14905.675649663137,332140.9287776711,21630.89495668912,1139.6243022136675,2001-02-21,2001-02-21,2001-02-21,1278.939941,1282.969971,1253.160034,1255.27002,1255.27002,1208500000.0
36,PJM West,2001-02-22,2001-02-23,2001-02-23,38.5,37.5,37.98,-6.8700000000000045,9600,12,7,2001-02-22,9029.474013474495,-1152.4355149181904,18748.94610202117,331644.2444658326,24791.8937921078,958.4285370548607,2001-02-22,2001-02-22,2001-02-22,1255.27002,1259.939941,1228.329956,1252.819946,1252.819946,1365900000.0
37,PJM West,2001-02-23,2001-02-26,2001-02-26,39.25,37.0,38.38,0.4000000000000057,19200,24,8,2001-02-23,75707.93118383062,-287.65062560153996,18454.781039461017,331801.0731472571,25633.506833493742,1025.5820981713189,2001-02-23,2001-02-23,2001-02-23,1252.819946,1252.819946,1215.439941,1245.859985,1245.859985,1231300000.0
38,PJM West,2001-02-26,2001-02-27,2001-02-27,43.0,40.0,41.89,3.509999999999998,11200,14,6,2001-02-26,92690.51924927816,1060.5885466794996,15243.833493743985,331437.99807507213,25760.27693455245,965.3674687199228,2001-02-26,2001-02-26,2001-02-26,1245.859985,1267.689941,1241.709961,1267.650024,1267.650024,1130800000.0
39,PJM West,2001-02-27,2001-02-28,2001-02-28,50.5,46.5,48.58,6.689999999999998,16800,21,12,2001-02-27,66285.14966313765,683.8330125120306,19632.45283926853,332072.5457170358,24392.924865255052,841.9076034648702,2001-02-27,2001-02-27,2001-02-27,1267.650024,1272.76001,1252.26001,1257.939941,1257.939941,1114100000.0
40,PJM West,2001-02-28,2001-03-01,2001-03-01,48.25,45.25,46.25,-2.3299999999999983,23200,29,10,2001-02-28,92315.39846005774,-298.01443695861417,15970.956689124157,330410.36092396535,21707.442738209815,790.3941289701635,2001-02-28,2001-02-28,2001-02-28,1257.939941,1263.469971,1229.650024,1239.939941,1239.939941,1225300000.0
41,PJM West,2001-03-01,2001-03-02,2001-03-02,42.5,36.5,38.97,-7.280000000000001,13600,16,11,2001-03-01,70844.29018286815,-12.652550529355032,19975.389797882584,328162.2858517807,23218.823743984598,801.6506256015401,2001-03-01,2001-03-01,2001-03-01,1239.939941,1241.359985,1214.5,1241.22998,1241.22998,1294900000.0
42,PJM West,2001-03-02,2001-03-05,2001-03-05,44.75,43.25,44.02,5.050000000000004,29600,33,12,2001-03-02,30256.767564966307,956.8031761308952,21605.399422521656,326053.87391722813,28193.00670356112,659.8657844080848,2001-03-02,2001-03-02,2001-03-02,1241.22998,1251.01001,1219.73999,1234.180054,1234.180054,1294000000.0
43,PJM West,2001-03-05,2001-03-06,2001-03-06,51.5,50.0,50.71,6.689999999999998,14400,18,11,2001-03-05,36066.71270452358,-231.19201154956687,21423.717998075066,326043.4744947065,26624.77873917228,1669.3822425409048,2001-03-05,2001-03-05,2001-03-05,1234.180054,1242.550049,1234.040039,1241.410034,1241.410034,929200000.0
44,PJM West,2001-03-06,2001-03-07,2001-03-07,57.0,52.25,53.52,2.8100000000000023,17600,21,11,2001-03-06,36546.790664100095,-536.606833493744,25964.753609239655,326206.5014436958,25129.533344562085,1577.3502406159773,2001-03-06,2001-03-06,2001-03-06,1241.410034,1267.420044,1241.410034,1253.800049,1253.800049,1091800000.0
45,PJM West,2001-03-07,2001-03-08,2001-03-08,45.5,44.25,45.03,-8.490000000000002,11200,13,11,2001-03-07,74700.80028873919,289.39220404234834,20477.62656400385,328605.4619826754,26447.092829643887,866.1087584215592,2001-03-07,2001-03-07,2001-03-07,1253.800049,1263.859985,1253.800049,1261.890015,1261.890015,1132200000.0
46,PJM West,2001-03-08,2001-03-09,2001-03-09,43.75,41.75,42.38,-2.6499999999999986,20800,26,12,2001-03-08,43313.527911453326,362.9186717998072,25594.331568816167,329032.29547641985,26867.716727622716,718.5890760346489,2001-03-08,2001-03-08,2001-03-08,1261.890015,1266.5,1257.599976,1264.73999,1264.73999,1114100000.0
47,PJM West,2001-03-09,2001-03-12,2001-03-12,44.0,41.25,42.16,-0.22000000000000597,20800,25,10,2001-03-09,54189.94417709336,359.2184793070259,24074.840230991336,328286.92974013486,26047.00280076997,963.8971607314727,2001-03-09,2001-03-09,2001-03-09,1264.73999,1264.73999,1228.420044,1233.420044,1233.420044,1085900000.0
48,PJM West,2001-03-12,2001-03-13,2001-03-13,42.0,40.75,41.51,-0.6499999999999986,16000,20,13,2001-03-12,72271.06544754574,1060.507699711261,20123.562560153994,329603.3108758422,27235.443657362848,984.7717035611163,2001-03-12,2001-03-12,2001-03-12,1233.420044,1233.420044,1176.780029,1180.160034,1180.160034,1229000000.0
49,PJM West,2001-03-13,2001-03-14,2001-03-14,39.5,38.0,38.52,-2.989999999999995,18400,16,12,2001-03-13,25334.81616939364,1927.4138594802696,21092.103946102023,324946.08758421586,30134.136799807507,1074.2799807507217,2001-03-13,2001-03-13,2001-03-13,1180.160034,1197.829956,1171.5,1197.660034,1197.660034,1360900000.0
50,PJM West,2001-03-14,2001-03-15,2001-03-15,37.25,36.5,36.98,-1.5400000000000063,14400,13,10,2001-03-14,85404.2781520693,1571.581809432146,21686.6708373436,327364.3984600578,25912.043743984606,1023.9232916265638,2001-03-14,2001-03-14,2001-03-14,1197.660034,1197.660034,1155.349976,1166.709961,1166.709961,1397400000.0
51,PJM West,2001-03-15,2001-03-16,2001-03-16,35.5,33.75,34.32,-2.6599999999999966,19200,18,11,2001-03-15,13751.849855630417,1362.8171318575555,26388.996631376318,327789.42252165545,29324.431477382102,720.1337824831569,2001-03-15,2001-03-15,2001-03-15,1166.709961,1182.040039,1166.709961,1173.560059,1173.560059,1259500000.0
52,PJM West,2001-03-16,2001-03-19,2001-03-19,43.0,41.5,41.99,7.670000000000002,13600,17,11,2001-03-16,29962.627045235797,1315.402791145332,23649.91626564004,327889.64870067354,29556.765409047166,853.1579884504334,2001-03-16,2001-03-16,2001-03-16,1173.560059,1173.560059,1148.640015,1150.530029,1150.530029,1543560000.0
53,PJM West,2001-03-19,2001-03-20,2001-03-20,48.5,47.5,48.03,6.039999999999999,7200,9,8,2001-03-19,114935.6727622714,973.3748796920115,16721.60153994225,333580.01443695894,22859.75815688161,716.4101539942253,2001-03-19,2001-03-19,2001-03-19,1150.530029,1173.5,1147.180054,1170.810059,1170.810059,1126200000.0
